artist,track,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
LOONA/yyxy,love4eva (feat. Grimes),4rKEmhNA19JezqVsSQS4yo,0.738,0.954,1,-2.146,1,0.0356,0.0692,0.0,0.222,0.742,102.015,220477,4,jojo
Danny Brown,Side B [Dope Song],26dfLcCVJUdscPvmUmkuSI,0.69,0.6,8,-7.331,1,0.249,0.187,0.0,0.694,0.761,160.08,156744,4,jojo
Latto,Muwop (feat. Gucci Mane),231WYcXWUxYSx79tuPtzBk,0.79,0.614,9,-6.958,0,0.0991,0.0606,0.0,0.239,0.63,145.907,200135,4,jojo
MIMIDEATH,abusive,11V7vRMorD73js8sfgBOS7,0.828,0.764,2,-7.361,1,0.104,0.17,0.309,0.237,0.289,110.987,72801,4,jojo
Rico Nasty,Pressing Me,3wtVRcrYtWJVs0rBTabJJ8,0.936,0.523,1,-6.39,1,0.269,0.00365,0.0,0.105,0.278,130.014,162636,4,jojo
Otoboke Beaver,"Leave me alone! No, stay with me!",0al4YLXuKajNIiJ1IXi9JL,0.321,0.973,9,-1.191,1,0.154,0.00751,0.684,0.086,0.574,132.201,101840,4,jojo
Flo Milli,Like That Bitch,7zoZd2MuTaQEdF1rlq6Vv1,0.782,0.844,10,-4.142,0,0.23,0.107,1.12e-06,0.295,0.76,77.435,203044,4,jojo
"Tyler, The Creator","PartyIsntOver/Campfire/Bimmer (feat. Frank Ocean, feat. Laetitia Sadier, feat. Laetitia Sadier & Frank Ocean)",04QTBqa3IA4ZAKEuqRPzEH,0.443,0.576,1,-8.695,0,0.201,0.0709,0.0197,0.41,0.127,151.835,438493,4,jojo
Lorde,Buzzcut Season,51QEyJI5M7uyd8DOh9tqQY,0.733,0.62,1,-10.525,1,0.075,0.606,0.305,0.117,0.247,111.039,246755,4,jojo
Vince Staples,So What? - Episode 01,2JRo1DJhNhZWs1TzrPNOSZ,0.854,0.844,2,-5.908,1,0.0519,0.00651,5.08e-06,0.186,0.832,146.041,125149,4,jojo
Brennan Henderson,Girl (feat. Clairo),7duNba6BgsNprsqfhlgsH5,0.763,0.478,2,-7.751,1,0.0289,0.115,0.0162,0.0751,0.303,115.001,197217,4,jojo
Car Seat Headrest,Sober to Death,6kOHjAOLz9IvUiRGf72Kec,0.512,0.543,7,-6.857,1,0.0343,0.189,0.000649,0.323,0.236,114.963,304427,4,jojo
The Format,Dog Problems,5Oq4KDHCqCpbo2E8PBqTAA,0.46,0.332,0,-8.06,1,0.0403,0.725,0.0,0.102,0.299,121.937,251160,4,jojo
Shura,religion (u can lay your hands on me) - Edit,7ch43KlH3JhQJoSdQUAqjK,0.816,0.487,11,-9.137,1,0.0591,0.0127,0.00188,0.141,0.847,99.207,215586,4,jojo
The Pom-Poms,Full Circle,3I3OgWs7gxddgSxA9ANxX5,0.708,0.801,5,-8.374,0,0.0692,0.0547,0.327,0.163,0.503,137.012,221496,4,jojo
Lady Gaga,"Beautiful, Dirty, Rich",4Jvz8OW0kOa6RK23YPKMtj,0.782,0.906,2,-5.229,1,0.152,0.017,0.0503,0.293,0.697,120.064,172413,4,jojo
Moe Shop,Notice,4n0sVfRnd0UJsqcbPj7GqN,0.788,0.485,11,-7.801,0,0.256,0.0101,0.000524,0.0288,0.423,125.061,189130,4,jojo
Lorde,Perfect Places,7ARveOiD31w2Nq0n5FsSf8,0.622,0.58,1,-5.273,0,0.0504,0.00241,2.95e-05,0.112,0.512,104.41,221874,4,jojo
Mitski,Why Didn't You Stop Me?,2nifujUVU1XyhTSHI2kQ8g,0.609,0.859,0,-5.215,1,0.0436,0.000358,0.111,0.0749,0.558,120.038,141978,4,jojo
FEMM,Falling For A Lullaby,0b4FCXSNVqT4GXTs7ck4vj,0.612,0.746,6,-3.749,1,0.038,0.00722,9.61e-06,0.142,0.466,115.009,214165,4,jojo
recovery girl,physical touch,37dffoVwZn3gV8VaVP4Rlx,0.542,0.915,7,-6.631,1,0.0611,0.00197,0.05,0.367,0.409,140.068,156035,4,jojo
Danny Brown,Really Doe,6dHatCnuOb1TdBIeJTK3Y0,0.692,0.983,1,-3.469,1,0.29,0.0417,0.0,0.21,0.792,75.992,319434,4,jojo
Kevin Abstract,Miserable America,5WPVwig7Tl6NFJ5BL6ONhd,0.613,0.688,6,-6.297,1,0.0612,0.224,7.75e-05,0.381,0.302,105.027,164986,4,jojo
Vince Staples,Like It Is,6yHZ09mUcQRZtWBYW73OoQ,0.389,0.555,6,-10.76,1,0.405,0.182,8.77e-06,0.334,0.698,90.425,276160,5,jojo
Omar Apollo,Useless,7dJN4NWQuqCjWwIT3UwOps,0.612,0.565,5,-7.609,1,0.0414,0.585,0.00174,0.0827,0.545,89.895,183693,4,jojo
Machine Girl,Cyan Hardcore,5DbCXRs5PXXDgFrsdzjGDg,0.545,0.985,1,-5.374,1,0.0472,6.8e-05,0.781,0.183,0.735,153.999,305502,4,jojo
MARINA,Venus Fly Trap,6h7AmUi3ghBeEfsZygAxOd,0.586,0.856,9,-4.392,0,0.0512,0.0883,1.73e-06,0.341,0.518,135.095,158733,4,jojo
Goldie Boutilier,Sex Paranoia,4vSjVkVtHDZAuqEqlFUQpt,0.773,0.708,1,-7.126,1,0.0453,0.0283,0.12,0.168,0.86,110.043,253353,4,jojo
Illuminate,Taxi Man,3xm7RSWUoU49BV9AuY9zx4,0.633,0.958,10,-3.997,0,0.143,0.0012,0.176,0.117,0.613,127.939,269192,4,jojo
Moe Shop,Love Taste,0XVoD3TmJVEYdRzZoe0Ewy,0.673,0.637,11,-8.022,0,0.28,0.000837,0.846,0.16,0.592,110.01,176193,4,jojo
Rebecca Black,Better in My Memory,0eWCi968jvfFZiLSMiOeFD,0.584,0.778,11,-6.338,1,0.0664,0.108,0.00175,0.249,0.62,155.061,170886,4,jojo
Jasiah,Art of War (feat. Denzel Curry & Rico Nasty),75tFBhZ34HNOiPder8VFYt,0.782,0.794,1,-5.789,1,0.291,0.0416,0.0,0.199,0.755,138.965,186473,4,jojo
Fiona Apple,I Want You To Love Me,73SBAGI4fPFm4VkB3NjXq8,0.528,0.504,9,-8.821,0,0.09,0.559,0.0414,0.0936,0.712,141.369,237713,3,jojo
Ecco2k,Time,4KfZSdlJ2YYZA4Q1p9WzUK,0.688,0.816,10,-5.722,0,0.0972,0.0161,0.415,0.21,0.767,80.985,121541,4,jojo
Kero Kero Bonito,Trampoline,3LuLUNgRmmgcr14dTIWH2S,0.856,0.863,10,-4.318,0,0.057,0.0525,0.0,0.384,0.673,124.998,243840,4,jojo
Vince Staples,BagBak,5POEFQCKtD0QxYLfZ2kqEx,0.76,0.828,1,-4.532,1,0.0789,0.0478,0.000427,0.0893,0.923,82.006,160507,4,jojo
Baby Tate,I Am (feat. Flo Milli),4E7ZbuJH3NddjnMWLstkRq,0.932,0.835,1,-3.905,1,0.156,0.105,0.0,0.0847,0.926,144.02,182465,4,jojo
Machine Girl,うずまき,5Vr8UPlg0N6Zma66yixVLT,0.323,0.954,11,-5.079,0,0.358,0.0394,0.0053,0.307,0.124,185.935,232708,5,jojo
Mitski,Townie,2HUIm4ZmwC5aIEQQakmgO4,0.31,0.884,1,-3.484,1,0.0567,1.13e-05,3.33e-06,0.121,0.276,137.755,205080,4,jojo
Flo Milli,Pussycat Doll,0rHCbvcGS3GkcU92lw0546,0.886,0.772,5,-5.497,0,0.177,0.228,0.0,0.0836,0.938,149.904,160000,4,jojo
Mitski,I'm a Fool to Want You,3JWimEBxUR1VS3mgAXSSka,0.175,0.208,0,-15.974,1,0.0348,0.828,0.858,0.165,0.0318,79.995,229087,5,jojo
Softee,Oh No,3FLazwxIsNIWPmND1t1RIx,0.702,0.665,5,-5.799,1,0.035,0.112,5.61e-05,0.0688,0.853,109.973,285955,4,jojo
Cocteau Twins,Lorelei,1MwGbyzRmPXWABLIdW8tzG,0.387,0.669,0,-11.187,1,0.0395,0.000158,0.423,0.166,0.414,90.995,223573,4,jojo
Japanese Breakfast,Boyish,0De8H4o9xzPtjRp9dns0L5,0.227,0.457,2,-7.459,1,0.0299,0.0979,0.000447,0.189,0.371,106.727,213987,4,jojo
