,artist,track,uri,nick_history,jojo_history,rich_history,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,LOONA/yyxy,love4eva (feat. Grimes),4rKEmhNA19JezqVsSQS4yo,,True,,0.738,0.954,1,-2.146,1,0.0356,0.0692,0,0.222,0.742,102.015,audio_features,4rKEmhNA19JezqVsSQS4yo,220477,4
1,Danny Brown,Side B [Dope Song],26dfLcCVJUdscPvmUmkuSI,,True,,0.69,0.6,8,-7.331,1,0.249,0.187,0,0.694,0.761,160.08,audio_features,26dfLcCVJUdscPvmUmkuSI,156744,4
2,Latto,Muwop (feat. Gucci Mane),231WYcXWUxYSx79tuPtzBk,,True,,0.79,0.614,9,-6.958,0,0.0991,0.0606,0,0.239,0.63,145.907,audio_features,231WYcXWUxYSx79tuPtzBk,200135,4
3,MIMIDEATH,abusive,11V7vRMorD73js8sfgBOS7,,True,,0.828,0.764,2,-7.361,1,0.104,0.17,0.309,0.237,0.289,110.987,audio_features,11V7vRMorD73js8sfgBOS7,72801,4
4,Rico Nasty,Pressing Me,3wtVRcrYtWJVs0rBTabJJ8,,True,,0.936,0.523,1,-6.39,1,0.269,0.00365,0,0.105,0.278,130.014,audio_features,3wtVRcrYtWJVs0rBTabJJ8,162636,4
5,DaBaby,VIBEZ,0fySG6A6qLE8IvDpayb5bM,True,True,,0.768,0.652,1,-2.708,0,0.307,0.113,0,0.107,0.777,154.187,audio_features,0fySG6A6qLE8IvDpayb5bM,144935,4
6,Otoboke Beaver,"Leave me alone! No, stay with me!",0al4YLXuKajNIiJ1IXi9JL,,True,,0.321,0.973,9,-1.191,1,0.154,0.00751,0.684,0.086,0.574,132.201,audio_features,0al4YLXuKajNIiJ1IXi9JL,101840,4
7,Flo Milli,Like That Bitch,7zoZd2MuTaQEdF1rlq6Vv1,,True,,0.782,0.844,10,-4.142,0,0.23,0.107,1.12e-06,0.295,0.76,77.435,audio_features,7zoZd2MuTaQEdF1rlq6Vv1,203044,4
8,"Tyler, The Creator","PartyIsntOver/Campfire/Bimmer (feat. Frank Ocean, feat. Laetitia Sadier, feat. Laetitia Sadier & Frank Ocean)",04QTBqa3IA4ZAKEuqRPzEH,,True,,0.443,0.576,1,-8.695,0,0.201,0.0709,0.0197,0.41,0.127,151.835,audio_features,04QTBqa3IA4ZAKEuqRPzEH,438493,4
9,Lorde,Buzzcut Season,51QEyJI5M7uyd8DOh9tqQY,,True,,0.733,0.62,1,-10.525,1,0.075,0.606,0.305,0.117,0.247,111.039,audio_features,51QEyJI5M7uyd8DOh9tqQY,246755,4
10,Vince Staples,So What? - Episode 01,2JRo1DJhNhZWs1TzrPNOSZ,,True,,0.854,0.844,2,-5.908,1,0.0519,0.00651,5.08e-06,0.186,0.832,146.041,audio_features,2JRo1DJhNhZWs1TzrPNOSZ,125149,4
11,Brennan Henderson,Girl (feat. Clairo),7duNba6BgsNprsqfhlgsH5,,True,,0.763,0.478,2,-7.751,1,0.0289,0.115,0.0162,0.0751,0.303,115.001,audio_features,7duNba6BgsNprsqfhlgsH5,197217,4
12,Car Seat Headrest,Sober to Death,6kOHjAOLz9IvUiRGf72Kec,,True,,0.512,0.543,7,-6.857,1,0.0343,0.189,0.000649,0.323,0.236,114.963,audio_features,6kOHjAOLz9IvUiRGf72Kec,304427,4
13,The Format,Dog Problems,5Oq4KDHCqCpbo2E8PBqTAA,,True,,0.46,0.332,0,-8.06,1,0.0403,0.725,0,0.102,0.299,121.937,audio_features,5Oq4KDHCqCpbo2E8PBqTAA,251160,4
14,Shura,religion (u can lay your hands on me) - Edit,7ch43KlH3JhQJoSdQUAqjK,,True,,0.816,0.487,11,-9.137,1,0.0591,0.0127,0.00188,0.141,0.847,99.207,audio_features,7ch43KlH3JhQJoSdQUAqjK,215586,4
15,The Pom-Poms,Full Circle,3I3OgWs7gxddgSxA9ANxX5,,True,,0.708,0.801,5,-8.374,0,0.0692,0.0547,0.327,0.163,0.503,137.012,audio_features,3I3OgWs7gxddgSxA9ANxX5,221496,4
16,Lady Gaga,"Beautiful, Dirty, Rich",4Jvz8OW0kOa6RK23YPKMtj,,True,,0.782,0.906,2,-5.229,1,0.152,0.017,0.0503,0.293,0.697,120.064,audio_features,4Jvz8OW0kOa6RK23YPKMtj,172413,4
17,Moe Shop,Notice,4n0sVfRnd0UJsqcbPj7GqN,,True,,0.788,0.485,11,-7.801,0,0.256,0.0101,0.000524,0.0288,0.423,125.061,audio_features,4n0sVfRnd0UJsqcbPj7GqN,189130,4
18,Lorde,Perfect Places,7ARveOiD31w2Nq0n5FsSf8,,True,,0.622,0.58,1,-5.273,0,0.0504,0.00241,2.95e-05,0.112,0.512,104.41,audio_features,7ARveOiD31w2Nq0n5FsSf8,221874,4
