,artist,track,uri,nick_history,jojo_history,rich_history
0,LOONA/yyxy,love4eva (feat. Grimes),spotify:track:4rKEmhNA19JezqVsSQS4yo,,True,
1,Danny Brown,Side B [Dope Song],spotify:track:26dfLcCVJUdscPvmUmkuSI,,True,
2,Latto,Muwop (feat. Gucci Mane),spotify:track:231WYcXWUxYSx79tuPtzBk,,True,
3,MIMIDEATH,abusive,spotify:track:11V7vRMorD73js8sfgBOS7,,True,
4,Rico Nasty,Pressing Me,spotify:track:3wtVRcrYtWJVs0rBTabJJ8,,True,
5,DaBaby,VIBEZ,spotify:track:0fySG6A6qLE8IvDpayb5bM,True,True,
6,Otoboke Beaver,"Leave me alone! No, stay with me!",spotify:track:0al4YLXuKajNIiJ1IXi9JL,,,
7,Flo Milli,Like That Bitch,spotify:track:7zoZd2MuTaQEdF1rlq6Vv1,,True,
8,"Tyler, The Creator","PartyIsntOver/Campfire/Bimmer (feat. Frank Ocean, feat. Laetitia Sadier, feat. Laetitia Sadier & Frank Ocean)",spotify:track:04QTBqa3IA4ZAKEuqRPzEH,,True,
9,Lorde,Buzzcut Season,spotify:track:51QEyJI5M7uyd8DOh9tqQY,,True,
10,Vince Staples,So What? - Episode 01,spotify:track:2JRo1DJhNhZWs1TzrPNOSZ,,True,
11,Brennan Henderson,Girl (feat. Clairo),spotify:track:7duNba6BgsNprsqfhlgsH5,,True,
12,Car Seat Headrest,Sober to Death,spotify:track:6kOHjAOLz9IvUiRGf72Kec,,True,
13,The Format,Dog Problems,spotify:track:5Oq4KDHCqCpbo2E8PBqTAA,,True,
14,Shura,religion (u can lay your hands on me) - Edit,spotify:track:7ch43KlH3JhQJoSdQUAqjK,,True,
15,The Pom-Poms,Full Circle,spotify:track:3I3OgWs7gxddgSxA9ANxX5,,True,
16,Lady Gaga,"Beautiful, Dirty, Rich",spotify:track:4Jvz8OW0kOa6RK23YPKMtj,,True,
17,Moe Shop,Notice,spotify:track:4n0sVfRnd0UJsqcbPj7GqN,,True,
18,Lorde,Perfect Places,spotify:track:7ARveOiD31w2Nq0n5FsSf8,,True,
19,Cuco,Drown,spotify:track:03ZkvqZOANKndGXfAAPywG,,True,
20,Kanye West,No More Parties In LA,spotify:track:0zLClc0emc6qUeV1p5nc99,,True,True
21,Mitski,Why Didn't You Stop Me?,spotify:track:2nifujUVU1XyhTSHI2kQ8g,,True,
22,FEMM,Falling For A Lullaby,spotify:track:0b4FCXSNVqT4GXTs7ck4vj,,True,
23,JAY-Z,Ni**as In Paris,spotify:track:4Li2WHPkuyCdtmokzW2007,,True,True
24,recovery girl,physical touch,spotify:track:37dffoVwZn3gV8VaVP4Rlx,,True,
25,Danny Brown,Really Doe,spotify:track:6dHatCnuOb1TdBIeJTK3Y0,,True,
26,Kevin Abstract,Miserable America,spotify:track:5WPVwig7Tl6NFJ5BL6ONhd,,True,
27,Cults,Always Forever,spotify:track:2enPRFda84VE2wtI8c86Uf,,True,
28,The Aces,Lovin' is Bible,spotify:track:40c498Ic7gnr1znNRZiPPV,,,
29,Vince Staples,Like It Is,spotify:track:6yHZ09mUcQRZtWBYW73OoQ,,True,
30,Omar Apollo,Useless,spotify:track:7dJN4NWQuqCjWwIT3UwOps,,True,
31,Kanye West,All Of The Lights,spotify:track:22L7bfCiAkJo5xGSQgmiIO,,True,True
32,Machine Girl,Cyan Hardcore,spotify:track:5DbCXRs5PXXDgFrsdzjGDg,,True,
33,MARINA,Venus Fly Trap,spotify:track:6h7AmUi3ghBeEfsZygAxOd,,True,
34,Goldie Boutilier,Sex Paranoia,spotify:track:4vSjVkVtHDZAuqEqlFUQpt,,True,
35,Illuminate,Taxi Man,spotify:track:3xm7RSWUoU49BV9AuY9zx4,,True,
36,Moe Shop,Love Taste,spotify:track:0XVoD3TmJVEYdRzZoe0Ewy,,True,
37,Rebecca Black,Better in My Memory,spotify:track:0eWCi968jvfFZiLSMiOeFD,,True,
38,Jasiah,Art of War (feat. Denzel Curry & Rico Nasty),spotify:track:75tFBhZ34HNOiPder8VFYt,,True,
39,Fiona Apple,I Want You To Love Me,spotify:track:73SBAGI4fPFm4VkB3NjXq8,,True,
40,Ecco2k,Time,spotify:track:4KfZSdlJ2YYZA4Q1p9WzUK,,,
41,Kendrick Lamar,XXX. FEAT. U2.,spotify:track:4iYRa2btalAzPZoSYfROqF,,True,
42,Kero Kero Bonito,Trampoline,spotify:track:3LuLUNgRmmgcr14dTIWH2S,,True,
43,Kanye West,Devil In A New Dress,spotify:track:1UGD3lW3tDmgZfAVDh6w7r,,True,True
44,Vince Staples,BagBak,spotify:track:5POEFQCKtD0QxYLfZ2kqEx,,True,
45,Baby Tate,I Am (feat. Flo Milli),spotify:track:4E7ZbuJH3NddjnMWLstkRq,,True,
46,Machine Girl,うずまき,spotify:track:5Vr8UPlg0N6Zma66yixVLT,,True,
47,Mitski,Townie,spotify:track:2HUIm4ZmwC5aIEQQakmgO4,,True,
48,Flo Milli,Pussycat Doll,spotify:track:0rHCbvcGS3GkcU92lw0546,,True,
49,Mitski,I'm a Fool to Want You,spotify:track:3JWimEBxUR1VS3mgAXSSka,,True,
50,Softee,Oh No,spotify:track:3FLazwxIsNIWPmND1t1RIx,,True,
51,Yung Bae,Selfish High Heels (feat. Macross 82-99 & Harrison),spotify:track:4zFDDTSInTkLg0d0KzxqJj,,,
52,Cocteau Twins,Lorelei,spotify:track:1MwGbyzRmPXWABLIdW8tzG,,True,
53,Japanese Breakfast,Boyish,spotify:track:0De8H4o9xzPtjRp9dns0L5,,True,
54,Aminé,STFU2,spotify:track:05tCaHe9yHLjO2qnXScDNV,,True,
55,"Tyler, The Creator",CHERRY BOMB,spotify:track:1sJZgGyZJookIoyLi9jDOV,,True,
56,PinkPantheress,Just a waste,spotify:track:0R4uAhlkr1I8EgPxqBwzBs,,,
57,The Marías,Un Millón,spotify:track:5dFG12OQz10CbUFZIYH0gv,,True,
58,ScHoolboy Q,Collard Greens,spotify:track:0zO8ctW0UiuOefR87OeJOZ,,True,True
59,Grimes,Genesis,spotify:track:3cjvqsvvU80g7WJPMVh8iq,,True,
60,food house,mos thoser,spotify:track:6nEDYdxD1YEWnXdbWxT6U8,,True,
61,Calum Bowen,The Club,spotify:track:77GKbwFEiNL7zmelPymsJB,,True,
62,Liza Anne,Bummer Days,spotify:track:5XgD3IJKhhChTDtoRzl2V6,,True,
63,Vince Staples,Yeah Right,spotify:track:35tWhD29yvWwB0IDRr6zsL,,True,
